name	electrode_name	type	units	sampling_frequency	reference	channel_id	contact_id	stream_id	file_origin	connector_id	connector_pin_id	nev_dig_factor	nb_sorted_units	nev_hi_freq_order	nev_hi_freq_type	nev_lo_freq_order	nev_lo_freq_type	nsx_hi_freq_order	nsx_lo_freq_order	nsx_hi_freq_type	nsx_lo_freq_type	nsx	low_cutoff	high_cutoff	hi_pass_order	lo_pass_order	filter_type	electrode_reject_HFC	electrode_reject_LFC	electrode_reject_IFC	connector_aligned_id	coordinates_x	coordinates_y	gain
chan69_s1	69	LFP	uV	1000	ref1	74	69.0	1	../../../sourcedata/i140703-001.ns2	3	5	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	61.0	0.0	2.4	5000
chan70_s1	70	LFP	uV	1000	ref1	75	70.0	1	../../../sourcedata/i140703-001.ns2	3	6	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	62.0	0.4	2.4	5000
chan71_s1	71	LFP	uV	1000	ref1	76	71.0	1	../../../sourcedata/i140703-001.ns2	3	7	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	51.0	0.0	2.0	5000
chan72_s1	72	LFP	uV	1000	ref1	77	72.0	1	../../../sourcedata/i140703-001.ns2	3	8	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	52.0	0.4	2.0	5000
chan73_s1	73	LFP	uV	1000	ref1	78	73.0	1	../../../sourcedata/i140703-001.ns2	3	9	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	True	False	False	41.0	0.0	1.6	5000
chan74_s1	74	LFP	uV	1000	ref1	79	74.0	1	../../../sourcedata/i140703-001.ns2	3	10	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	42.0	0.4	1.6	5000
chan75_s1	75	LFP	uV	1000	ref1	80	75.0	1	../../../sourcedata/i140703-001.ns2	3	11	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	31.0	0.0	1.2	5000
chan76_s1	76	LFP	uV	1000	ref1	81	76.0	1	../../../sourcedata/i140703-001.ns2	3	12	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	32.0	0.4	1.2	5000
chan77_s1	77	LFP	uV	1000	ref1	82	77.0	1	../../../sourcedata/i140703-001.ns2	3	13	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	21.0	0.0	0.8	5000
chan78_s1	78	LFP	uV	1000	ref1	83	78.0	1	../../../sourcedata/i140703-001.ns2	3	14	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	22.0	0.4	0.8	5000
chan79_s1	79	LFP	uV	1000	ref1	84	79.0	1	../../../sourcedata/i140703-001.ns2	3	15	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	11.0	0.0	0.4	5000
chan80_s1	80	LFP	uV	1000	ref1	85	80.0	1	../../../sourcedata/i140703-001.ns2	3	16	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	12.0	0.4	0.4	5000
chan81_s1	81	LFP	uV	1000	ref1	86	81.0	1	../../../sourcedata/i140703-001.ns2	3	17	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	2.0	0.4	0.0	5000
