onset	duration	trial_type	stim_file	stim_file_index
123.3144	0.5	4	stimuli/sub-01_task-visual_run-01_stimuli.mat	111
123.8164	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
124.3188	0.5	6	stimuli/sub-01_task-visual_run-01_stimuli.mat	172
124.8208	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
125.3231	0.5	1	stimuli/sub-01_task-visual_run-01_stimuli.mat	2
125.8251	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
126.3274	0.5	2	stimuli/sub-01_task-visual_run-01_stimuli.mat	42
126.8298	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
127.3318	0.5	4	stimuli/sub-01_task-visual_run-01_stimuli.mat	109
127.8341	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
128.3361	0.5	1	stimuli/sub-01_task-visual_run-01_stimuli.mat	7
128.8384	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
129.3404	0.5	4	stimuli/sub-01_task-visual_run-01_stimuli.mat	100
129.8428	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
130.3451	0.5	4	stimuli/sub-01_task-visual_run-01_stimuli.mat	115
130.8471	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
131.3495	0.5	2	stimuli/sub-01_task-visual_run-01_stimuli.mat	59
131.8515	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
132.3538	0.5	2	stimuli/sub-01_task-visual_run-01_stimuli.mat	48
132.8561	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
133.3581	0.5	2	stimuli/sub-01_task-visual_run-01_stimuli.mat	31
133.8605	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
134.3625	0.5	7	stimuli/sub-01_task-visual_run-01_stimuli.mat	190
134.8648	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
135.3668	0.5	1	stimuli/sub-01_task-visual_run-01_stimuli.mat	6
135.8691	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
136.3715	0.5	1	stimuli/sub-01_task-visual_run-01_stimuli.mat	10
136.8735	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
137.3758	0.5	1	stimuli/sub-01_task-visual_run-01_stimuli.mat	24
137.8778	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
138.3801	0.5	4	stimuli/sub-01_task-visual_run-01_stimuli.mat	103
138.8822	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
139.3845	0.5	3	stimuli/sub-01_task-visual_run-01_stimuli.mat	85
139.8868	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
140.3888	0.5	5	stimuli/sub-01_task-visual_run-01_stimuli.mat	130
140.8912	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
141.3932	0.5	3	stimuli/sub-01_task-visual_run-01_stimuli.mat	70
141.8955	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
142.3978	0.5	3	stimuli/sub-01_task-visual_run-01_stimuli.mat	78
142.8998	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
143.4022	0.5	7	stimuli/sub-01_task-visual_run-01_stimuli.mat	191
143.9042	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
144.4065	0.5	6	stimuli/sub-01_task-visual_run-01_stimuli.mat	160
144.9085	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
145.4108	0.5	6	stimuli/sub-01_task-visual_run-01_stimuli.mat	157
145.9132	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
146.4152	0.5	1	stimuli/sub-01_task-visual_run-01_stimuli.mat	22
146.9175	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
147.4195	0.5	7	stimuli/sub-01_task-visual_run-01_stimuli.mat	196
147.9219	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
148.4239	0.5	6	stimuli/sub-01_task-visual_run-01_stimuli.mat	153
148.9262	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
149.4285	0.5	6	stimuli/sub-01_task-visual_run-01_stimuli.mat	154
149.9305	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
150.4329	0.5	5	stimuli/sub-01_task-visual_run-01_stimuli.mat	126
