name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
MEG 1643	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 1642	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 1641	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
MEG 1713	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 1712	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 1711	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
MEG 1722	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 1723	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 1721	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
MEG 1732	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 1733	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 1731	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
MEG 1743	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 1742	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 1741	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
MEG 1813	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 1812	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 1811	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
MEG 1822	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 1823	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 1821	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
MEG 1832	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 1833	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 1831	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
