onset	duration	sample	event_type	face_type	rep_status	trial	rep_lag	value	stim_file
251.138	n/a	62784	show_cross	n/a	n/a	72	n/a	1	cross.bmp
251.6225454545	n/a	62905	show_face	famous_face	first_show	72	n/a	5	f068.bmp
252.5261818182	n/a	63131	show_circle	n/a	n/a	72	n/a	0	circle.bmp
254.2261818182	n/a	63556	show_cross	n/a	n/a	73	n/a	1	cross.bmp
254.6961818182	n/a	63674	show_face	famous_face	delayed_repeat	73	10	7	f067.bmp
255.5243636364	n/a	63881	show_circle	n/a	n/a	73	n/a	0	circle.bmp
257.2243636364	n/a	64306	show_cross	n/a	n/a	74	n/a	1	cross.bmp
257.7361818182	n/a	64434	show_face	scrambled_face	first_show	74	n/a	17	s009.bmp
258.3698181818	n/a	64592	right_press	n/a	n/a	74	n/a	4096	n/a
258.7316363636	n/a	64682	show_circle	n/a	n/a	74	n/a	0	circle.bmp
260.4316363636	n/a	65107	show_cross	n/a	n/a	75	n/a	1	cross.bmp
261.0770909091	n/a	65269	show_face	scrambled_face	immediate_repeat	75	1	18	s009.bmp
261.9652727273	n/a	65491	show_circle	n/a	n/a	75	n/a	0	circle.bmp
263.6652727273	n/a	65916	show_cross	n/a	n/a	76	n/a	1	cross.bmp
264.318	n/a	66079	show_face	scrambled_face	first_show	76	n/a	17	s031.bmp
265.1716363636	n/a	66292	show_circle	n/a	n/a	76	n/a	0	circle.bmp
266.87163636360003	n/a	66717	show_cross	n/a	n/a	77	n/a	1	cross.bmp
267.4416363636	n/a	66860	show_face	scrambled_face	delayed_repeat	77	10	19	s057.bmp
268.24254545450003	n/a	67060	right_press	n/a	n/a	77	n/a	4096	n/a
268.358	n/a	67089	show_circle	n/a	n/a	77	n/a	0	circle.bmp
270.058	n/a	67514	show_cross	n/a	n/a	78	n/a	1	cross.bmp
270.5152727273	n/a	67628	show_face	scrambled_face	first_show	78	n/a	17	s021.bmp
271.4134545455	n/a	67853	right_press	n/a	n/a	78	n/a	4096	n/a
271.4834545455	n/a	67870	show_circle	n/a	n/a	78	n/a	0	circle.bmp
273.1834545455	n/a	68295	show_cross	n/a	n/a	79	n/a	1	cross.bmp
273.7561818182	n/a	68439	show_face	scrambled_face	delayed_repeat	79	11	19	s077.bmp
274.7398181818	n/a	68684	show_circle	n/a	n/a	79	n/a	0	circle.bmp
274.8552727273	n/a	68713	right_press	n/a	n/a	79	n/a	4096	n/a
276.4398181818	n/a	69109	show_cross	n/a	n/a	80	n/a	1	cross.bmp
276.9970909091	n/a	69249	show_face	unfamiliar_face	first_show	80	n/a	13	u063.bmp
277.8761818182	n/a	69469	show_circle	n/a	n/a	80	n/a	0	circle.bmp
279.5761818182	n/a	69894	show_cross	n/a	n/a	81	n/a	1	cross.bmp
280.2043636364	n/a	70051	show_face	unfamiliar_face	first_show	81	n/a	13	u149.bmp
281.1325454545	n/a	70283	show_circle	n/a	n/a	81	n/a	0	circle.bmp
282.8325454545	n/a	70708	show_cross	n/a	n/a	82	n/a	1	cross.bmp
283.3289090909	n/a	70832	show_face	famous_face	delayed_repeat	82	10	7	f068.bmp
284.2452727273	n/a	71061	show_circle	n/a	n/a	82	n/a	0	circle.bmp
285.9452727273	n/a	71486	show_cross	n/a	n/a	83	n/a	1	cross.bmp
286.5689090909	n/a	71642	show_face	famous_face	first_show	83	n/a	5	f015.bmp
287.2134545455	n/a	71803	right_press	n/a	n/a	83	n/a	4096	n/a
287.5125454545	n/a	71878	show_circle	n/a	n/a	83	n/a	0	circle.bmp
289.2125454545	n/a	72303	show_cross	n/a	n/a	84	n/a	1	cross.bmp
289.8434545455	n/a	72460	show_face	famous_face	first_show	84	n/a	5	f031.bmp
290.4725454545	n/a	72618	right_press	n/a	n/a	84	n/a	4096	n/a
290.7770909091	n/a	72694	show_circle	n/a	n/a	84	n/a	0	circle.bmp
292.4770909091	n/a	73119	show_cross	n/a	n/a	85	n/a	1	cross.bmp
292.9507272727	n/a	73237	show_face	famous_face	immediate_repeat	85	1	6	f031.bmp
