onset	duration	trial_type	cash_demean	control_pumps_demean	pumps_demean
557.182	0.799	cash_fixed_real_RT	n/a	n/a	n/a
571.673	0.741	pumps_fixed_real_RT	n/a	n/a	n/a
571.673	0.772	pumps_demean	n/a	n/a	-1.5
574.217	0.772	pumps_demean	n/a	n/a	-0.5
574.217	1.852	pumps_fixed_real_RT	n/a	n/a	n/a
578.703	0.772	pumps_demean	n/a	n/a	0.5
578.703	2.462	pumps_fixed_real_RT	n/a	n/a	n/a
583.469	0.772	pumps_demean	n/a	n/a	1.5
583.469	1.112	pumps_fixed_real_RT	n/a	n/a	n/a
586.896	0.772	cash_demean	1.286	n/a	n/a
586.896	0.646	cash_fixed_real_RT	n/a	n/a	n/a
591.068	0.772	pumps_demean	n/a	n/a	-1.0
591.068	1.154	pumps_fixed_real_RT	n/a	n/a	n/a
595.27	2.583	pumps_fixed_real_RT	n/a	n/a	n/a
595.27	0.772	pumps_demean	n/a	n/a	0.0
600.825	3.132	pumps_fixed_real_RT	n/a	n/a	n/a
600.825	0.772	pumps_demean	n/a	n/a	1.0
606.802	0.78	cash_fixed_real_RT	n/a	n/a	n/a
606.802	0.772	cash_demean	0.286	n/a	n/a
