index	name	network_label	name_7network	index_17network	name_17network	network_label_17network	atlas_name
174	RH_Cont_PFCl_5	Cont	7Networks_RH_Cont_PFCl_5	153.0	17Networks_RH_SalVentAttnB_PFCl_1	SalVentAttnB	Schaefer200
175	RH_Cont_PFCl_6	Cont	7Networks_RH_Cont_PFCl_6	175.0	17Networks_RH_ContB_PFCld_1	ContB	Schaefer200
176	RH_Cont_PFCl_7	Cont	7Networks_RH_Cont_PFCl_7	176.0	17Networks_RH_ContB_PFCld_2	ContB	Schaefer200
177	RH_Cont_pCun_1	Cont	7Networks_RH_Cont_pCun_1	181.0	17Networks_RH_ContC_pCun_1	ContC	Schaefer200
178	RH_Cont_Cing_1	Cont	7Networks_RH_Cont_Cing_1	183.0	17Networks_RH_ContC_Cingp_1	ContC	Schaefer200
179	RH_Cont_Cing_2	Cont	7Networks_RH_Cont_Cing_2	170.0	17Networks_RH_ContA_Cingm_1	ContA	Schaefer200
180	RH_Cont_PFCmp_1	Cont	7Networks_RH_Cont_PFCmp_1	156.0	17Networks_RH_SalVentAttnB_PFCmp_1	SalVentAttnB	Schaefer200
181	RH_Cont_PFCmp_2	Cont	7Networks_RH_Cont_PFCmp_2	179.0	17Networks_RH_ContB_PFCmp_1	ContB	Schaefer200
182	RH_Default_Par_1	Default	7Networks_RH_Default_Par_1	194.0	17Networks_RH_DefaultC_IPL_1	DefaultC	Schaefer200
183	RH_Default_Par_2	Default	7Networks_RH_Default_Par_2	184.0	17Networks_RH_DefaultA_IPL_1	DefaultA	Schaefer200
