onset	duration	trial	hand_raised	value	sample	countdown_onset	countdown_offset	response_time	feedback_onset_approx	stim_file	trial_type	stage	bci_prediction	latency	n_repeated
1567.4754	0	58	right	2.0	7837377.0	1564.4254	1567.4254	50.0	1567.5437333333334	right_hand.png	raised-right/match-false	3	left	-47.0	1
1572.1456	0	59	right	2.0	7860728.0	1569.012266666667	1572.012266666667	133.33333333299998	1572.2139333333334	right_hand.png	raised-right/match-false	3	left	-32.4	1
1576.7826	0	60	left	1.0	7883913.0	1573.6826	1576.6826	100.0	1576.8509333333334	right_hand.png	raised-left/match-true	3	left	-35.8	1
1581.4028	0	61	right	2.0	7907014.0	1578.3194666666668	1581.3194666666668	83.3333333333	1581.4711333333335	left_hand.png	raised-right/match-true	3	right	-22.4	1
1586.023	0	62	left	1.0	7930115.0	1582.9396666666667	1585.9396666666667	83.3333333333	1586.0913333333333	left_hand.png	raised-left/match-false	3	right	-34.6	1
1590.6594	0	63	left	1.0	7953297.0	1587.5594	1590.5594	100.0	1590.7277333333334	left_hand.png	raised-left/match-false	3	right	-37.4	1
1595.2798	0	64	right	2.0	7976399.0	1592.1964666666668	1595.1964666666668	83.3333333333	1595.3481333333334	left_hand.png	raised-right/match-true	3	right	-49.8	1
1599.8542	0	65	right	2.0	7999271.0	1596.8208666666667	1599.8208666666667	33.3333333333	1599.9225333333334	right_hand.png	raised-right/match-false	3	left	-41.8	1
1604.4538	0	66	right	2.0	8022269.0	1601.3871333333334	1604.3871333333334	66.6666666667	1604.5221333333334	left_hand.png	raised-right/match-true	3	right	-33.4	1
1609.1282	0	67	left	1.0	8045641.0	1606.0282000000002	1609.0282000000002	100.0	1609.1965333333335	right_hand.png	raised-left/match-true	3	left	-48.6	1
1613.8148	0	68	left	1.0	8069074.0	1610.6648	1613.6648	150.0	1613.8831333333335	right_hand.png	raised-left/match-true	3	left	-50.4	1
1618.3642	0	69	right	2.0	8091821.0	1615.3475333333333	1618.3475333333333	16.6666666667	1618.4325333333334	left_hand.png	raised-right/match-true	3	right	-17.4	1
1623.0346	0	70	right	2.0	8115173.0	1619.901266666667	1622.901266666667	133.33333333299998	1623.1029333333333	left_hand.png	raised-right/match-true	3	right	-54.2	1
1627.6218	0	71	left	1.0	8138109.0	1624.5718	1627.5718	50.0	1627.6901333333333	left_hand.png	raised-left/match-false	3	right	-59.0	1
1632.2126	0	72	right	2.0	8161063.0	1629.1626	1632.1626	50.0	1632.2809333333335	left_hand.png	raised-right/match-true	3	right	-41.8	1
1636.8118	0	73	left	1.0	8184059.0	1633.7451333333333	1636.7451333333333	66.6666666667	1636.8801333333333	right_hand.png	raised-left/match-true	3	left	-33.0	1
1641.432	0	74	right	2.0	8207160.0	1638.3486666666668	1641.3486666666668	83.3333333333	1641.5003333333334	left_hand.png	raised-right/match-true	3	right	-45.2	1
