onset	duration	value
124.022461	0.0	house-upright-f3
124.088867	0.0	house-upright-f4
124.155273	0.0	house-upright-f5
124.22168	0.0	house-upright-f6
124.688477	0.0	checker-f1
124.738281	0.0	checker-f2
124.788086	0.0	checker-f3
124.837891	0.0	checker-f4
124.887695	0.0	checker-f5
124.938477	0.0	checker-f6
125.288086	0.0	face-inverted-f1
125.354492	0.0	face-inverted-f2
125.420898	0.0	face-inverted-f3
125.487305	0.0	face-inverted-f4
125.553711	0.0	face-inverted-f5
125.621094	0.0	face-inverted-f6
126.086914	0.0	house-inverted-f1
126.15332	0.0	house-inverted-f2
126.203125	0.0	house-inverted-f3
126.25293	0.0	house-inverted-f4
126.302734	0.0	house-inverted-f5
126.353516	0.0	house-inverted-f6
126.703125	0.0	face-upright-f1
126.786133	0.0	face-upright-f2
126.869141	0.0	face-upright-f3
126.952148	0.0	face-upright-f4
127.036133	0.0	face-upright-f5
127.119141	0.0	face-upright-f6
127.702148	0.0	house-upright-f1
127.768555	0.0	house-upright-f2
127.834961	0.0	house-upright-f3
127.901367	0.0	house-upright-f4
127.967773	0.0	house-upright-f5
128.03418	0.0	house-upright-f6
128.500977	0.0	face-inverted-f1
128.583984	0.0	face-inverted-f2
128.666992	0.0	face-inverted-f3
128.750977	0.0	face-inverted-f4
128.833984	0.0	face-inverted-f5
128.916992	0.0	face-inverted-f6
129.5	0.0	checker-f1
129.583008	0.0	checker-f2
129.666016	0.0	checker-f3
129.749023	0.0	checker-f4
129.833008	0.0	checker-f5
129.916016	0.0	checker-f6
130.499023	0.0	face-upright-f1
130.56543	0.0	face-upright-f2
130.631836	0.0	face-upright-f3
130.698242	0.0	face-upright-f4
130.764648	0.0	face-upright-f5
130.832031	0.0	face-upright-f6
131.297852	0.0	house-inverted-f1
131.364258	0.0	house-inverted-f2
131.430664	0.0	house-inverted-f3
131.49707	0.0	house-inverted-f4
131.564453	0.0	house-inverted-f5
131.630859	0.0	house-inverted-f6
132.09668	0.0	checker-f1
132.163086	0.0	checker-f2
132.230469	0.0	checker-f3
132.296875	0.0	checker-f4
132.363281	0.0	checker-f5
132.429688	0.0	checker-f6
132.896484	0.0	house-upright-f1
132.962891	0.0	house-upright-f2
133.029297	0.0	house-upright-f3
133.095703	0.0	house-upright-f4
133.162109	0.0	house-upright-f5
133.228516	0.0	house-upright-f6
133.695313	0.0	house-inverted-f1
133.77832	0.0	house-inverted-f2
133.861328	0.0	house-inverted-f3
133.945313	0.0	house-inverted-f4
134.02832	0.0	house-inverted-f5
134.111328	0.0	house-inverted-f6
134.694336	0.0	face-upright-f1
134.777344	0.0	face-upright-f2
134.860352	0.0	face-upright-f3
134.943359	0.0	face-upright-f4
135.027344	0.0	face-upright-f5
135.110352	0.0	face-upright-f6
135.693359	0.0	face-inverted-f1
135.759766	0.0	face-inverted-f2
135.826172	0.0	face-inverted-f3
135.892578	0.0	face-inverted-f4
135.958984	0.0	face-inverted-f5
136.026367	0.0	face-inverted-f6
136.492188	0.0	checker-f1
136.558594	0.0	checker-f2
136.625	0.0	checker-f3
136.691406	0.0	checker-f4
136.758789	0.0	checker-f5
136.825195	0.0	checker-f6
137.291016	0.0	face-upright-f1
137.357422	0.0	face-upright-f2
137.424805	0.0	face-upright-f3
137.491211	0.0	face-upright-f4
137.557617	0.0	face-upright-f5
137.624023	0.0	face-upright-f6
138.09082	0.0	house-upright-f1
138.157227	0.0	house-upright-f2
138.223633	0.0	house-upright-f3
138.290039	0.0	house-upright-f4
138.356445	0.0	house-upright-f5
138.422852	0.0	house-upright-f6
138.889648	0.0	house-inverted-f1
138.956055	0.0	house-inverted-f2
139.022461	0.0	house-inverted-f3
139.088867	0.0	house-inverted-f4
139.15625	0.0	house-inverted-f5
139.222656	0.0	house-inverted-f6
139.688477	0.0	face-inverted-f1
139.771484	0.0	face-inverted-f2
139.855469	0.0	face-inverted-f3
139.938477	0.0	face-inverted-f4
140.021484	0.0	face-inverted-f5
140.104492	0.0	face-inverted-f6
140.6875	0.0	face-inverted-f1
140.770508	0.0	face-inverted-f2
140.853516	0.0	face-inverted-f3
140.9375	0.0	face-inverted-f4
141.020508	0.0	face-inverted-f5
141.103516	0.0	face-inverted-f6
141.686523	0.0	checker-f1
141.75293	0.0	checker-f2
141.819336	0.0	checker-f3
141.885742	0.0	checker-f4
141.953125	0.0	checker-f5
